DATA DE ENTRADA;FORMA;VALOR;ORIGEM;CORTE
18/09/2026;TEF - CREDITO;1.652,52;16/09/2026;00:00
18/09/2026;TEF - DEBITO;1.250,16;16/09/2026;00:00
21/09/2026;TEF - CREDITO;3.317,07;17/09/2026;00:00
21/09/2026;TEF - DEBITO;4.146,48;17/09/2026;00:00
22/09/2026;TEF - CREDITO;1.536,39;20/09/2026;00:00
22/09/2026;TEF - DEBITO;1.514,67;20/09/2026;00:00
23/09/2026;TEF - CREDITO;978,53;21/09/2026;00:00
23/09/2026;TEF - DEBITO;1.722,31;21/09/2026;00:00
24/09/2026;TEF - CREDITO;690,41;22/09/2026;00:00
24/09/2026;TEF - DEBITO;3.176,79;22/09/2026;00:00
25/09/2026;TEF - CREDITO;1.847,19;23/09/2026;00:00
25/09/2026;TEF - DEBITO;2.104,51;23/09/2026;00:00
28/09/2026;TEF - CREDITO;2.627,81;24/09/2026;00:00
28/09/2026;TEF - DEBITO;4.268,24;24/09/2026;00:00
